"_id","_labels","BOMID","id","名称","partType","productID","prop","供应商","制造方式","层级","数量","材料","核心物料","物料类别","结构号","规格","_start","_end","_type"
"6771",":temp","1","X2050068-000","螺丝-铁","零件","XY05060-002copy","","","外购","3","1","","否","螺丝","1.0004.0016","PTW2*5十字槽垫圈D5.0镀镍",,,
"6772",":temp","1","X2050093-000","螺丝-铁","零件","XY05060-002copy","","","外购","3","1","","否","螺丝","1.0004.0017","Φ2.5*6十字槽镀镍300530209A",,,
"6773",":temp","1","X3070611-000","PCB组件-HC-581","零件","XY05060-002copy","","","外购","3","1","","是","电子板","1.0004.0018","300581701A",,,
"6774",":temp","1","XS05060000-00","刀头组件-HC-581","部件","XY05060-002copy","","","自制","3","1","","否","刀头组件","1.0004.0019","",,,
"6775",":temp","1","X1010317-000","刀座-HC-530","部件","XY05060-002copy","","","自制","4","1","","否","刀座","1.0004.0019.0001","POMF20-03黑色300530110A",,,
"6776",":temp","1","X1040045-000","POM-南通宝泰菱","零件","XY05060-002copy","","","外购","5","1","","否","POM","1.0004.0019.0001.0001","POMF20-03",,,
"6777",":temp","1","X1040096-000","母粒-特黑","零件","XY05060-002copy","","","外购","5","1","","否","母粒","1.0004.0019.0001.0002","1号",,,
"6778",":temp","1","X5020005-000","定刀片-HC-530","零件","XY05060-002copy","","","外购","4","1","","否","定刀片","1.0004.0019.0002","420J2HRC56-58抛光300530203A",,,
"6779",":temp","1","X5020006-000","动刀片-HC-530","零件","XY05060-002copy","","","外购","4","1","","否","动刀片","1.0004.0019.0003","420J2HRC55-57抛光300530202A",,,
"6780",":temp","1","X1051407-000","刀垫-HC-581","部件","XY05060-002copy","","","自制","4","1","","否","刀垫","1.0004.0019.0004","POMF20-03本色300581108A",,,
"6781",":temp","1","X1040045-000","POM-南通宝泰菱","零件","XY05060-002copy","","","外购","5","1","","否","POM","1.0004.0019.0004.0001","POMF20-03",,,
"6782",":temp","1","X2020021-000","动刀扭簧-HC-530","零件","XY05060-002copy","","","外购","4","1","","否","弹簧","1.0004.0019.0005","琴钢线Ф0.8煲黑300530207A",,,
"6783",":temp","1","X2050093-000","螺丝-铁","零件","XY05060-002copy","","","外购","4","1","","否","螺丝","1.0004.0019.0006","Φ2.5*6十字槽镀镍300530209A",,,
"6784",":temp","1","X3015272-000","电子线-QIFURUI","零件","XY05060-002copy","","","外购","3","1","","否","电子线","1.0004.0020","UL100724AWGL75剥线4留胶+剥线4浸锡红色",,,
"6785",":temp","1","X3015273-000","电子线-QIFURUI","零件","XY05060-002copy","","","外购","3","1","","否","电子线","1.0004.0021","UL100724AWGL45剥线4留胶+剥线4浸锡红色",,,
"6786",":temp","1","X3015283-000","电子线-QIFURUI","零件","XY05060-002copy","","","外购","3","1","","否","电子线","1.0004.0022","UL100724AWGL45剥线4留胶+剥线4留胶黑色",,,
"6787",":temp","1","X2020404-000","负极弹片压簧-HC-581","零件","XY05060-002copy","","","外购","3","1","","否","弹簧","1.0004.0023","琴钢线OD3.8*4.6*Φ0.55圈300581202A",,,
"6788",":temp","4","Y05060-002copy","电推剪装箱","部件","Y05060-002copy","",""," ","1","1","","","电推剪","1","078996-102-000;OSTER;DC1.5V;美国;420C灰色注塑+黑色+299C蓝色",,,
"6789",":temp","4","1030027-000","配梳2#-HC-530","部件","Y05060-002copy","","","","2","1","","","配梳","1.0001","POMF20-03黑色300530115A",,,
"6790",":temp","4","1040045-000","POM-南通宝泰菱","零件","Y05060-002copy","","","","3","1","","","POM","1.0001.0001","POMF20-03",,,
"6791",":temp","4","1040096-000","母粒-特黑","零件","Y05060-002copy","","","","3","1","","","母粒","1.0001.0002","1号",,,
"6792",":temp","4","5080008-000","油瓶-国润","零件","Y05060-002copy","","","","2","1","","","油瓶","1.0002","4ml英文",,,
"6793",":temp","4","5090006-000","清洁刷-HC-630","零件","Y05060-002copy","","","","2","1","","","清洁刷","1.0003","黑柄白毛300531601A",,,
"6794",":temp","4","B05060-002copy","电推剪裸机","部件","Y05060-002copy","",""," ","2","1","","","电推剪","1.0004","078996-102-000OSTERDC1.5V美国420C灰色注塑+黑色+299C蓝色",,,
"6795",":temp","4","1051112-000","上壳-HC-581","部件","Y05060-002copy","","","","3","1","","","塑料壳","1.0004.0001","ABS灰色MA91279300581101A",,,
"6796",":temp","4","1040006-000","ABS-韩国锦湖","零件","Y05060-002copy","","","","4","1","","","ABS","1.0004.0001.0001","ABS750NSW",,,
"6797",":temp","4","1044620-000","母粒-420C浅灰","零件","Y05060-002copy","","","","4","1","","","母粒","1.0004.0001.0002","MA91279ABS",,,
"6798",":temp","4","1051113-000","下壳-HC-581","部件","Y05060-002copy","","","","3","1","","","塑料壳","1.0004.0002","ABS灰色MA91279300581102A",,,
"6799",":temp","4","1040006-000","ABS-韩国锦湖","零件","Y05060-002copy","","","","4","1","","","ABS","1.0004.0002.0001","ABS750NSW",,,
"6800",":temp","4","1044620-000","母粒-420C浅灰","零件","Y05060-002copy","","","","4","1","","","母粒","1.0004.0002.0002","MA91279ABS",,,
"6801",":temp","4","1051011-000","装饰片-HC-581","部件","Y05060-002copy","","","","3","1","","","装饰片","1.0004.0003","ABS黑色丝印300581103A",,,
"6802",":temp","4","1051117-000","装饰片-HC-581","部件","Y05060-002copy","","","","4","1","","","装饰片","1.0004.0003.0001","ABS黑色300581103A",,,
"6803",":temp","4","1040006-000","ABS-韩国锦湖","零件","Y05060-002copy","","","","5","1","","","ABS","1.0004.0003.0001.0001","ABS750NSW",,,
"6804",":temp","4","1040096-000","母粒-特黑","零件","Y05060-002copy","","","","5","1","","","母粒","1.0004.0003.0001.0002","1号",,,
"6805",":temp","4","6030013-000","油墨-8503","零件","Y05060-002copy","","","","4","1","","","油墨","1.0004.0003.0002","黑色",,,
"6806",":temp","4","1051114-000","开关推扭-HC-581","部件","Y05060-002copy","","","","3","1","","","开关推扭","1.0004.0004","ABS蓝色MA91280300581104A",,,
"6807",":temp","4","1040006-000","ABS-韩国锦湖","零件","Y05060-002copy","","","","4","1","","","ABS","1.0004.0004.0001","ABS750NSW",,,
"6808",":temp","4","1044621-000","母粒-299C蓝","零件","Y05060-002copy","","","","4","1","","","母粒","1.0004.0004.0002","MA91280ABS",,,
"6809",":temp","4","1051010-000","开关滑制-HC-581","部件","Y05060-002copy","","","","3","1","","","开关滑制","1.0004.0005","POM本色300581105A",,,
"6810",":temp","4","1040045-000","POM-南通宝泰菱","零件","Y05060-002copy","","","","4","1","","","POM","1.0004.0005.0001","POMF20-03",,,
"6811",":temp","4","1051115-000","电池盖-HC-581","部件","Y05060-002copy","","","","3","1","","","电池盖","1.0004.0006","ABS灰色MA91279丝印300581106A",,,
"6812",":temp","4","1051118-000","电池盖-HC-581","部件","Y05060-002copy","","","","4","1","","","电池盖","1.0004.0006.0001","ABS灰色MA91279300581106A",,,
"6813",":temp","4","1040006-000","ABS-韩国锦湖","零件","Y05060-002copy","","","","5","1","","","ABS","1.0004.0006.0001.0001","ABS750NSW",,,
"6814",":temp","4","1044620-000","母粒-420C浅灰","零件","Y05060-002copy","","","","5","1","","","母粒","1.0004.0006.0001.0002","MA91279ABS",,,
"6815",":temp","4","6030013-000","油墨-8503","零件","Y05060-002copy","","","","4","1","","","油墨","1.0004.0006.0002","黑色",,,
"6816",":temp","4","5040003-000","挡发海绵-HC-530","零件","Y05060-002copy","","","","3","1","","","挡发海绵","1.0004.0007","海绵40*4*4单面背3M胶300530301A",,,
"6817",":temp","4","1051009-000","电机压板-HC-581","部件","Y05060-002copy","","","","3","1","","","电机压板","1.0004.0008","POM本色300581107A",,,
"6818",":temp","4","1040045-000","POM-南通宝泰菱","零件","Y05060-002copy","","","","4","1","","","POM","1.0004.0008.0001","POMF20-03",,,
"6819",":temp","4","3030119-000","DC电机-HC-530","部件","Y05060-002copy","","","外购","3","1","","是","电机","1.0004.0009","MFF-2025SA-4503-R11.5V300530702A",,,
"6820",":temp","4","DC-3030119-001","定子","部件","Y05060-002copy","","","","4","1","","","定子","1.0004.0009.0001","",,,
"6821",":temp","4","DC-3030119-002","有绕组定子铁心","部件","Y05060-002copy","","","","5","1","","","有绕组定子铁心","1.0004.0009.0001.0001","",,,
"6822",":temp","4","DC-3030119-003","定子铁心","部件","Y05060-002copy","","","","6","1","","","定子铁心","1.0004.0009.0001.0001.0001","",,,
"6823",":temp","4","DC-3030119-004","定子冲片","部件","Y05060-002copy","","","","7","1","","","定子冲片","1.0004.0009.0001.0001.0001.0001","",,,
"6824",":temp","4","DC-3030119-005","硅钢片","零件","Y05060-002copy","","","","8","1","","","硅钢片","1.0004.0009.0001.0001.0001.0001.0001","35WW270",,,
