label,name,名称,物料类别,数量,BOMID,partType,productID,prop,供应商,制造方式,材料,核心物料,结构号,规格
刀头组件,XS05060000-00,刀头组件-HC-581,刀头组件,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0019,-
刀座,X1010317-000,刀座-HC-530,刀座,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0019.0001,POMF20-03黑色300530110A
POM,X1040045-000,POM-南通宝泰菱,POM,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0001.0001,POMF20-03
母粒,X1040096-000,母粒-特黑,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0001.0002,1号
定刀片,X5020005-000,定刀片-HC-530,定刀片,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0002,420J2HRC56-58抛光300530203A
动刀片,X5020006-000,动刀片-HC-530,动刀片,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0003,420J2HRC55-57抛光300530202A
刀垫,X1051407-000,刀垫-HC-581,刀垫,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0019.0004,POMF20-03本色300581108A
POM,X1040045-000,POM-南通宝泰菱,POM,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0004.0001,POMF20-03
弹簧,X2020021-000,动刀扭簧-HC-530,弹簧,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0005,琴钢线Ф0.8煲黑300530207A
螺丝,X2050093-000,螺丝-铁,螺丝,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0019.0006,Φ2.5*6十字槽镀镍300530209A
电子线,X3015272-000,电子线-QIFURUI,电子线,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0020,UL100724AWGL75剥线4留胶+剥线4浸锡红色
电子线,X3015273-000,电子线-QIFURUI,电子线,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0021,UL100724AWGL45剥线4留胶+剥线4浸锡红色
电子线,X3015283-000,电子线-QIFURUI,电子线,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0022,UL100724AWGL45剥线4留胶+剥线4留胶黑色
弹簧,X2020404-000,负极弹片压簧-HC-581,弹簧,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0023,琴钢线OD3.8*4.6*Φ0.55圈300581202A
电推剪,Y05060-002copy,电推剪装箱,电推剪,1,4,部件,Y05060-002copy,-,-, ,-,-,1,078996-102-000;OSTER;DC1.5V;美国;420C灰色注塑+黑色+299C蓝色
配梳,1030027-000,配梳2#-HC-530,配梳,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0001,POMF20-03黑色300530115A
POM,1040045-000,POM-南通宝泰菱,POM,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0001.0001,POMF20-03
母粒,1040096-000,母粒-特黑,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0001.0002,1号
油瓶,5080008-000,油瓶-国润,油瓶,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0002,4ml英文
清洁刷,5090006-000,清洁刷-HC-630,清洁刷,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0003,黑柄白毛300531601A
电推剪,B05060-002copy,电推剪裸机,电推剪,1,4,部件,Y05060-002copy,-,-, ,-,-,1.0004,078996-102-000OSTERDC1.5V美国420C灰色注塑+黑色+299C蓝色
塑料壳,1051112-000,上壳-HC-581,塑料壳,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0001,ABS灰色MA91279300581101A
ABS,1040006-000,ABS-韩国锦湖,ABS,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0001.0001,ABS750NSW
母粒,1044620-000,母粒-420C浅灰,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0001.0002,MA91279ABS
塑料壳,1051113-000,下壳-HC-581,塑料壳,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0002,ABS灰色MA91279300581102A
ABS,1040006-000,ABS-韩国锦湖,ABS,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0002.0001,ABS750NSW
母粒,1044620-000,母粒-420C浅灰,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0002.0002,MA91279ABS
装饰片,1051011-000,装饰片-HC-581,装饰片,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0003,ABS黑色丝印300581103A
装饰片,1051117-000,装饰片-HC-581,装饰片,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0003.0001,ABS黑色300581103A
ABS,1040006-000,ABS-韩国锦湖,ABS,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0003.0001.0001,ABS750NSW
母粒,1040096-000,母粒-特黑,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0003.0001.0002,1号
油墨,6030013-000,油墨-8503,油墨,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0003.0002,黑色
开关推扭,1051114-000,开关推扭-HC-581,开关推扭,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0004,ABS蓝色MA91280300581104A
ABS,1040006-000,ABS-韩国锦湖,ABS,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0004.0001,ABS750NSW
母粒,1044621-000,母粒-299C蓝,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0004.0002,MA91280ABS
开关滑制,1051010-000,开关滑制-HC-581,开关滑制,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0005,POM本色300581105A
POM,1040045-000,POM-南通宝泰菱,POM,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0005.0001,POMF20-03
电池盖,1051115-000,电池盖-HC-581,电池盖,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0006,ABS灰色MA91279丝印300581106A
